Company,City,Country,Website,Notes
InterAmerican Coffee GmbH,Hamburg,Germany,,Green coffee trader - Hamburg trading hub
List + Beisler GmbH,Hamburg,Germany,,Green coffee importer
Bero Coffee GmbH,Hamburg,Germany,,Green coffee trader
Hamburg Coffee Company GmbH,Hamburg,Germany,,Green coffee trader
J.J. Darboven GmbH & Co. KG,Hamburg,Germany,,Large roaster - buys green
Coffee Circle GmbH,Berlin,Germany,,Specialty roaster - direct sourcing
The Barn Coffee Roasters,Berlin,Germany,,Specialty roaster
Efico NV,Antwerp,Belgium,,Green coffee trader - Antwerp
Or Coffee Roasters,Ghent,Belgium,,Specialty roaster
Trabocca BV,Amsterdam,Netherlands,,Green coffee importer
This Side Up Coffees,Utrecht,Netherlands,,Green coffee importer
Nordic Approach,Oslo,Norway,,Speciality green coffee importer
Collaborative Coffee Source,Oslo,Norway,,Green coffee importer
Solberg & Hansen,Oslo,Norway,,Roaster and importer
Tim Wendelboe,Oslo,Norway,,Specialty roaster - direct trade
Johan & Nystrom,Stockholm,Sweden,,Specialty roaster
Da Matteo,Gothenburg,Sweden,,Specialty roaster
Koppi Coffee Roasters,Helsingborg,Sweden,,Specialty roaster
Kaffa Roastery,Helsinki,Finland,,Specialty roaster
Paulig Oy,Helsinki,Finland,,Large roaster - buys green
Meira Oy,Helsinki,Finland,,Roaster - buys green
The Coffee Collective,Copenhagen,Denmark,,Specialty roaster - direct trade
La Cabra Coffee,Aarhus,Denmark,,Specialty roaster
April Coffee Roasters,Copenhagen,Denmark,,Specialty roaster
Mercanta The Coffee Hunters,Kingston upon Thames,United Kingdom,,Green coffee importer
DR Wakefield,London,United Kingdom,,Green coffee importer
Falcon Coffees,Brighton,United Kingdom,,Green coffee importer
Union Hand-Roasted Coffee,London,United Kingdom,,Roaster - direct sourcing
Origin Coffee Roasters,Helston,United Kingdom,,Specialty roaster
Extract Coffee Roasters,Bristol,United Kingdom,,Specialty roaster
Belco,Bordeaux,France,,Green coffee importer
Terres de Cafe,Paris,France,,Roaster and importer
Gardelli Specialty Coffees,Forli,Italy,,Specialty roaster
Blasercafe AG,Bern,Switzerland,,Roaster - buys green
La Semeuse SA,La Chaux-de-Fonds,Switzerland,,Roaster - buys green
Nomad Coffee,Barcelona,Spain,,Specialty roaster
Hard Beans Coffee Roasters,Opole,Poland,,Specialty roaster
